match_id,team1,team2,winner,toss_winner,toss_decision,venue,city,date,gender
1263156,West Indies,Australia,West Indies,Australia,field,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,2021-07-09,male
1443543,New Zealand,Sri Lanka,New Zealand,Sri Lanka,field,"Bay Oval, Mount Maunganui",Mount Maunganui,2024-12-28,male
1491723,West Indies,New Zealand,West Indies,New Zealand,field,"Eden Park, Auckland",Auckland,2025-11-05,male
533272,Sri Lanka,Zimbabwe,Sri Lanka,Zimbabwe,field,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,2012-09-18,male
730293,West Indies,Bangladesh,,Bangladesh,bat,"Warner Park, Basseterre",St Kitts,2014-08-27,male
403375,Sri Lanka,Pakistan,Pakistan,Pakistan,bat,R Premadasa Stadium,Colombo,2009-08-12,male
1122730,India,Sri Lanka,India,Sri Lanka,field,Holkar Cricket Stadium,Indore,2017-12-22,male
1133822,Sri Lanka,Bangladesh,Bangladesh,Bangladesh,field,"R.Premadasa Stadium, Khettarama",Colombo,2018-03-16,male
1007659,Zimbabwe,India,India,Zimbabwe,field,Harare Sports Club,,2016-06-22,male
356017,Pakistan,Sri Lanka,Pakistan,Sri Lanka,bat,Lord's,London,2009-06-21,male
1478869,South Africa,New Zealand,New Zealand,New Zealand,field,Harare Sports Club,Harare,2025-07-22,male
406198,Australia,West Indies,Australia,West Indies,bat,Sydney Cricket Ground,,2010-02-23,male
1146723,Bangladesh,West Indies,West Indies,West Indies,field,"Warner Park, Basseterre",St Kitts,2018-07-31,male
649103,Pakistan,South Africa,South Africa,South Africa,bat,Dubai International Cricket Stadium,,2013-11-15,male
1298165,Australia,Ireland,Australia,Ireland,field,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,2022-10-31,male
1415708,Ireland,India,India,India,field,"Nassau County International Cricket Stadium, New York",New York,2024-06-05,male
1276905,India,England,India,England,field,"Edgbaston, Birmingham",Birmingham,2022-07-09,male
743953,England,New Zealand,England,England,bat,Old Trafford,Manchester,2015-06-23,male
463149,South Africa,India,India,India,bat,Moses Mabhida Stadium,Durban,2011-01-09,male
