match_id,team1,team2,winner,toss_winner,toss_decision,venue,city,date,gender
1379578,Rwanda,Uganda,Uganda,Rwanda,bat,"Gymkhana Club Ground, Nairobi",Nairobi,2023-06-11,male
1275269,Luxembourg,Bulgaria,Luxembourg,Bulgaria,field,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,2021-09-02,male
1283043,Tanzania,Mozambique,Tanzania,Tanzania,bat,Gahanga International Cricket Stadium. Rwanda,Kigali City,2021-11-02,male
1321306,Luxembourg,Czech Republic,Czech Republic,Luxembourg,bat,"Scott Page Field, Vinor",Prague,2022-07-08,male
356008,New Zealand,Pakistan,Pakistan,New Zealand,bat,Kennington Oval,London,2009-06-13,male
1328853,Singapore,Kuwait,Kuwait,Singapore,bat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-08-24,male
1034825,India,England,England,England,field,Green Park,Kanpur,2017-01-26,male
1283034,Swaziland,Ghana,Ghana,Ghana,field,Integrated Polytechnic Regional Centre,Kigali City,2021-10-20,male
1072316,New Zealand,Australia,Australia,Australia,field,Sydney Cricket Ground,,2018-02-03,male
1459278,Bahrain,United Arab Emirates,United Arab Emirates,Bahrain,bat,University of Doha for Science and Technology,Doha,2024-11-28,male
1488321,Indonesia,Cambodia,Cambodia,Indonesia,bat,Udayana Cricket Ground,Bali,2025-06-12,male
403385,Sri Lanka,New Zealand,New Zealand,New Zealand,bat,R Premadasa Stadium,Colombo,2009-09-02,male
1299593,Oman,Nepal,Nepal,Nepal,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2022-02-11,male
1282275,Bulgaria,Switzerland,Switzerland,Bulgaria,bat,Marsa Sports Club,Marsa,2021-10-22,male
1339604,South Africa,West Indies,West Indies,West Indies,field,"SuperSport Park, Centurion",Centurion,2023-03-25,male
1442988,Sri Lanka,India,India,India,field,Pallekele International Cricket Stadium,Kandy,2024-07-28,male
1199529,Papua New Guinea,Singapore,Papua New Guinea,Singapore,field,Dubai International Cricket Stadium,Dubai,2019-10-25,male
546414,Ireland,Kenya,Ireland,Kenya,bat,Dubai International Cricket Stadium,,2012-03-14,male
1478899,South Africa,Australia,South Africa,Australia,field,"Marrara Stadium, Darwin",Darwin,2025-08-12,male
1495456,Malawi,Bahrain,Bahrain,Bahrain,field,"Gahanga International Cricket Stadium, Rwanda",Kigali City,2025-07-20,male
1320976,Hungary,Belgium,Belgium,Hungary,bat,"Royal Brussels Cricket Club Ground, Waterloo",Waterloo,2022-06-29,male
1400978,Rwanda,Nigeria,Nigeria,Nigeria,field,"Tafawa Balewa Square Cricket Oval, Lagos",Lagos,2023-10-07,male
1383090,Vanuatu,Papua New Guinea,Papua New Guinea,Vanuatu,bat,"Amini Park, Port Moresby",Port Moresby,2023-07-22,male
1519138,Ireland,Italy,Italy,Italy,field,"7he Sevens Stadium, Dubai",Dubai,2026-01-26,male
1422809,Tanzania,Kuwait,Kuwait,Tanzania,bat,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,2024-03-06,male
543883,Kenya,Ireland,Ireland,Ireland,field,Mombasa Sports Club Ground,,2012-02-22,male
1257945,Netherlands,Nepal,Nepal,Nepal,field,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,2021-04-17,male
1503470,Nepal,Samoa,Nepal,Samoa,field,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2025-10-17,male
533282,Ireland,West Indies,,West Indies,field,R Premadasa Stadium,Colombo,2012-09-24,male
1273149,Finland,Sweden,Sweden,Sweden,field,Kerava National Cricket Ground,Kerava,2021-08-22,male
1262758,India,Sri Lanka,India,Sri Lanka,field,"R Premadasa Stadium, Colombo",Colombo,2021-07-25,male
1188380,Netherlands,Zimbabwe,,Netherlands,bat,Hazelaarweg,Rotterdam,2019-06-25,male
